season,timestamp,institution,location,subject_area,review_date,url,rank,appointment
2022-2023,2022-09-19T22:14:29.530,Duke University,North Carolina,Biology,2022-10-21,https://jobs.sciencecareers.org/job/617661/assistant-professor/,Asst Prof,Tenure Track
2022-2023,2022-09-20T03:07:19.331,"University of California, Davis",California,Evolutionary Anthropology ,2022-11-16,https://recruit.ucdavis.edu/JPF05216,Asst Prof,Tenure Track
2022-2023,2022-09-20T03:09:53.462,New York University,New York,"Molecular, Cellular, Developmental & Organismal Biology",2022-11-01,https://apply.interfolio.com/113593,Asst Prof,Tenure Track
2022-2023,2022-09-20T07:18:25.272,McNeese State University,Louisiana,Biology,2022-09-26,https://www.schooljobs.com/careers/mcneese/,Asst Prof,Tenure Track
2022-2023,2022-09-20T07:18:32.487,Hendrix College,Arkansas,Botany and Environmental Studies,2022-10-17,https://www.hendrix.edu/jobs,Asst Prof,Tenure Track
2022-2023,2022-09-20T09:14:15.227,University of Kansas,Kansas,Evolutionary Genomics,2022-11-01,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25752&siteid=5539&AReq=23444BR#jobDetails=4623976_5539,Asst Prof,Tenure Track
2022-2023,2022-09-20T12:16:27.631,The University of Texas at El Paso,Texas,Evolutionary Biology,2022-11-01,https://utep.interviewexchange.com/jobofferdetails.jsp?JOBID=153441,Asst Prof,Tenure Track
2022-2023,2022-09-20T12:41:34.169,Southeastern Oklahoma State University,Oklahoma,Botany / Plant Ecology,2022-10-15,https://seok.csod.com/ux/ats/careersite/1/home/requisition/84?c=seok,Asst Prof,Tenure Track
2022-2023,2022-09-20T13:03:49.496,Francis Marion University,South Carolina,Water Resource Management,2022-10-28,https://www.fmarion.edu/job/assistant-professor-of-biology-water-resource-management-22-89/,Asst Prof,Tenure Track
2022-2023,2022-09-20T15:08:47.088,Bennington College,Vermont,Ecology / Evolution,2022-10-07,https://bennington.hire.trakstar.com/jobs/fk02cvw/?,Asst Prof,Permanent Non-TT
2022-2023,2022-09-21T06:04:05.062,Mississippi State University,Mississippi,Wildlife Disease Ecology,2022-11-01,https://explore.msujobs.msstate.edu/en-us/job/504895/assistantassociate-professor,Asst / Assoc Prof,Tenure Track
2022-2023,2022-09-21T13:28:30.668,Millsaps College,Mississippi,Cell Biology (Broad),2022-10-24,https://www.millsaps.edu/resources/employment-opportunities/assistant-professor-of-biology/,Asst Prof,Tenure Track
2022-2023,2022-09-21T13:46:31.966,"Indiana University, Bloomington",Indiana,Evolutionary Biology,2022-11-01,https://indiana.peopleadmin.com/postings/13961,Rank Open,Tenure Track
2022-2023,2022-09-22T05:44:03.166,Western Carolina University,North Carolina,Plant Ecology,2022-11-15,https://jobs.wcu.edu/postings/21837,Asst Prof,Tenure Track
2022-2023,2022-09-22T10:43:25.430,Central State University,Ohio,Bee Genomics,2022-09-29,https://careers.centralstate.edu/postings/6347,Research Asst Prof,Tenure Track
2022-2023,2022-09-22T11:24:04.507,Loyola University Chicago,Illinois,Genetics,2022-12-01,https://www.careers.luc.edu/postings/21973,Lecturer,Fixed Term
2022-2023,2022-09-22T13:00:48.678,EPA,Minnesota,Watersheds & Water Resources,2022-10-03,https://www.usajobs.gov/job/678972900,Branch Chief GS 14-15,Permanent Non-Academic
2022-2023,2022-09-23T04:08:49.680,Wake Forest University,North Carolina,Earth Sciences,2022-10-28,https://wfu.wd1.myworkdayjobs.com/en-US/Faculty_Career_Website_live/details/Earth-Sciences-Assistant-Teaching-Professor--Environment-and-Sustainability-Studies-Program_R0004847,Asst Prof,Permanent Non-TT
2022-2023,2022-09-23T04:12:20.891,Wake Forest University,North Carolina,Ecology or Evoutionary Biology (Teaching Track),2022-10-15,https://wfu.wd1.myworkdayjobs.com/en-US/Faculty_Career_Website_live/details/Assistant-Teaching-Professor-for-Ecology-or-Evolutionary-Biology_R0004828,Asst Prof,Permanent Non-TT
2022-2023,2022-09-23T04:18:44.385,Wake Forest University,North Carolina,Environmental Studies / Leadership and Character (Teaching Track),2022-10-28,https://wfu.wd1.myworkdayjobs.com/en-US/Faculty_Career_Website_live/details/Assistant-Teaching-Professor--Environment-and-Sustainability-Studies-Program-and-Program-for-Leadership-and-Character_R0004846-1,Asst Prof,Permanent Non-TT
2022-2023,2022-09-23T06:50:25.963,Imperial College London,United Kingdom,Climate Change and Environmental Biology,2022-10-25,https://www.imperial.ac.uk/jobs/description/NAT01279/lecturersenior-lecturer-climate-change-and-environmental-biology,Lecturer / Sr Lecturer,Tenure Track
2022-2023,2022-09-23T07:07:33.086,University of Mississippi,Mississippi,Biology,2022-10-10,https://careers.olemiss.edu/job/University-Assistant-Professor-of-Biology-MS-38677/932725500/,Asst Prof,Tenure Track
2022-2023,2022-09-23T08:56:07.997,Colgate University,New York,Cellular / Molecular Neuroscience,2022-10-08,https://academicjobsonline.org/ajo/jobs/22738,Asst Prof,Tenure Track
2022-2023,2022-09-23T11:27:04.055,University of Tulsa,Oklahoma,Genetics/Genomics,2022-10-24,https://universitytulsa.peopleadmin.com/postings/6831,Asst / Assoc Prof,Tenure Track
2022-2023,2022-09-23T11:31:08.637,Vancouver Island University,Canada,Invertebrate Zoology,2022-12-14,https://careers.viu.ca/vacancy/professor-biology-invertebrate-zoologist-360643.html,Professor,Permanent Non-TT
2022-2023,2022-09-23T13:39:36.868,University of Western Ontario,Canada,Animal Cell Biology,2022-09-26,https://www.uwo.ca/facultyrelations/careers/pdf/Science_Biology_Animal-Cell-Biology_2022.pdf,Asst Prof,Tenure Track
2022-2023,2022-09-23T14:25:34.747,DePaul University,Illinois,Developmental Biology,2022-11-01,https://academics.depaul.edu/faculty-jobs/Pages/position-detail.aspx?dpusearchbyid=469511,Asst Prof,Tenure Track
2022-2023,2022-09-23T17:05:58.670,Roger Williams University,Rhode Island,Shellfish Ecology & Aquaculture,,https://rwu.interviewexchange.com/jobofferdetails.jsp?JOBID=153480,Asst Prof,Tenure Track
2022-2023,2022-09-23T18:01:38.451,Dominican University of California,California,Mathematics & Quantitative Science,2022-10-15,https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=89249&clientkey=379D25BEB04D4E67539308A7BD902D82,Asst Prof,Tenure Track
2022-2023,2022-09-24T02:45:20.366,University of Stirling ,United Kingdom,Global Change Biology,2022-10-19,https://www.stir.ac.uk/about/work-at-stirling/list/details/?jobId=3318&jobTitle=Lecturer%20in%20Global%20Change%20Biology,Lecturer,Tenure Track
2022-2023,2022-09-24T02:46:05.566,University of Stirling ,United Kingdom,Environmental Management,2022-10-19,https://www.stir.ac.uk/about/work-at-stirling/list/details/?jobId=3319&jobTitle=Lecturer%20in%20Environmental%20Management,Lecturer,Tenure Track
2022-2023,2022-09-26T02:47:12.719,University of East Anglia,United Kingdom,Genomics and Bioinformatics,2022-10-19,https://myview.uea.ac.uk/webrecruitment/pages/vacancy.jsf?latest=01009069,Lecturer,Tenure Track
2022-2023,2022-09-26T07:39:11.192,l'Université de Montréal / University of Montreal,Canada,Animal Biology - Genomics,2022-12-02,https://bio.umontreal.ca/public/FAS/biologie/Documents/5-Departement/Offres_d_emploi/profs/FAS_09-22_9_EN.pdf,Asst Prof,Tenure Track
2022-2023,2022-09-26T10:07:33.607,Truman State University,Missouri,Plant Biology,2022-11-07,https://trumansu.peopleadmin.com/postings/163,Asst Prof,Tenure Track
2022-2023,2022-09-26T10:25:21.210,Penn State University,Pennsylvania,Applied Systems Ecology,2022-12-01,https://psu.wd1.myworkdayjobs.com/PSU_Academic/job/Penn-State-University-Park/Assistant-Professor_REQ_0000035879-1,Asst Prof,Tenure Track
2022-2023,2022-09-26T13:05:33.246,New York Botanical Garden,New York,"Biology, Plant Biology, Data Science",2022-11-07,https://jobs.jobvite.com/nybg/job/oVt7kfwz?nl=1,Rank Open,Permanent Non-Academic
2022-2023,2022-09-26T14:05:32.582,University of Rhode Island,Rhode Island,Plant Sciences,2022-12-01,https://jobs.uri.edu/postings/10607,Asst Prof,Tenure Track
2022-2023,2022-09-26T14:12:48.710,University of South Carolina,South Carolina,Regeneration Biology,2022-11-11,https://uscjobs.sc.edu/postings/129705,Asst Prof,Tenure Track
2022-2023,2022-09-26T14:48:02.322,California Department of Fish and Wildlife,California,Aquatic Ecology,2022-10-06,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=330758,Senior Environmental Scientist (Supervisor) ,Permanent Non-Academic
2022-2023,2022-09-26T18:28:04.127,Cal Poly Humboldt,California,Data Science,2022-11-01,https://careers.humboldt.edu/hm/en-us/job/518915/tenure-track-faculty-department-of-mathematics-data-science,Asst Prof,Tenure Track
2022-2023,2022-09-27T06:54:25.664,Michigan State University,Michigan,Microbiology,2022-10-23,https://jobs.sciencecareers.org/job/618228/assistant-associate-professor/?TrackID=319702&utm_source=jobs&utm_medium=email&utm_campaign=email-careers-job-alert&BatchID=5467&JobAlertId=380530,Asst / Assoc Prof,Tenure Track
2022-2023,2022-09-27T10:20:07.786,University of Georgia,Georgia,Plant Ecology & Evolution / Herbarium Curation,2022-11-04,https://twitter.com/uga_plantbio/status/1574784417599455233/photo/1,Asst Prof,Tenure Track
2022-2023,2022-09-27T10:21:10.270,Arizona State University,Arizona,Evolutionary Biology,2022-11-09,http://apply.interfolio.com/114422,Rank Open,Tenure Track
2022-2023,2022-09-27T11:02:10.148,University of North Texas,Texas,Microbial Genomics,2022-10-28,https://jobs.untsystem.edu/postings/64670,Asst Prof,Tenure Track
2022-2023,2022-09-27T11:44:01.275,The Ohio State University,Ohio,One Health,2022-10-03,https://osu.wd1.myworkdayjobs.com/OSUCareers/job/Columbus-Campus/Open-Faculty-Search---One-Health_R40350-1,Asst / Assoc Prof,Tenure Track
2022-2023,2022-09-27T12:02:35.815,University of Maryland,Maryland,Theoretical & Computational Ecology,2022-11-07,https://ejobs.umd.edu/postings/100287 ,Rank Open,Tenure Track
2022-2023,2022-09-27T14:08:46.467,University of New Hampshire,New Hampshire,Large Mammal Conservation Biology,2022-10-27,https://jobs.usnh.edu/postings/51582,Asst Prof,Tenure Track
2022-2023,2022-09-27T14:10:24.619,Rutgers University,New Jersey,Environmental Informatics,,https://jobs.rutgers.edu/postings/181263,Asst Prof,Tenure Track
2022-2023,2022-09-27T15:24:12.394,Texas A&M University,Texas,Microbiome Sciences,2022-10-31,https://apply.interfolio.com/112251,Asst Prof,Tenure Track
2022-2023,2022-09-27T16:00:52.727,Ohio Wesleyan University,Ohio,Neuroscience,2022-10-16,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=a2082ac8-6363-4a1c-92d0-adacd9e4f844&ccId=19000101_000001&jobId=445910&lang=en_US&source=CC4,Asst Prof,Tenure Track
2022-2023,2022-09-27T17:04:02.009,Louisiana State University,Louisiana,Biology (broad),2022-11-15,https://lsu.wd1.myworkdayjobs.com/LSU/job/0202-Life-Sciences-Building/Assistant-Professor_R00073154-1,Rank Open,Tenure Track
2022-2023,2022-09-27T22:03:31.734,Cal Poly Humboldt,California,Plant Physiology,2022-11-01,https://csucareers.calstate.edu/detail.aspx?pid=98347&source=IND,Asst Prof,Tenure Track
2022-2023,2022-09-27T22:05:28.960,Cal Poly Humboldt,California,Marine Phycology,2022-11-15,https://csucareers.calstate.edu/detail.aspx?pid=98342&source=IND,Asst Prof,Tenure Track
2022-2023,2022-09-28T04:41:01.174,Binghamton University SUNY,New York,Integrative Plant Biology,2022-12-01,https://binghamton.interviewexchange.com/jobofferdetails.jsp;jsessionid=3C21D3632EC161411FCF5440731FE412?JOBID=152572,Asst Prof,Tenure Track
2022-2023,2022-09-28T06:39:54.272,University of Colorado Boulder,Colorado,Integrative Physiology,2022-10-27,https://jobs.sciencecareers.org/job/618540/tenure-track-assistant-professor/?TrackID=319702&utm_source=jobs&utm_medium=email&utm_campaign=email-careers-job-alert&BatchID=5468&JobAlertId=380530,Asst Prof,Tenure Track
2022-2023,2022-09-28T07:12:43.813,West Virginia University,West Virginia,Forest Biogeochemistry,2022-10-24,https://wvu.taleo.net/careersection/faculty/jobdetail.ftl?job=20740&tz=GMT-04%3A00&tzname=America%2FNew_York,Asst Prof,Tenure Track
2022-2023,2022-09-28T08:32:43.513,Marine Biological Laboratory (MBL),Massachusetts,"Cell & Developmental Biology, Functional Genomics, Neuroscience & Behavior, Regenerative Biology or Tissue Engineering",2022-10-01,https://recruiting.ultipro.com/MAR1033MBL/JobBoard/4c3007c3-6354-41de-a13f-d95be60d91e9/OpportunityDetail?opportunityId=e39a92cd-cffc-4a62-ab3b-93e2d152ed38,Asst Scientist / Research Scientist,Permanent Non-TT
2022-2023,2022-09-28T10:06:59.013,Butler University,Indiana,Plant Biology,2022-11-01,https://www.butler.edu/human-resources/current-opportunities/faculty-openings/,Instructor,Permanent Non-TT
2022-2023,2022-09-28T10:47:06.005,Ben Gurion University of the Negev,Israel,Plant Ecophysiology,,https://bguacademicrecruitment.force.com/Recruiters/VF_BGUPositions?Id=02i5I00000DOGItQAP#,Sr Lecturer,Tenure Track
2022-2023,2022-09-28T10:47:51.074,Ben Gurion University of the Negev,Israel,Plant Biology,,https://bguacademicrecruitment.force.com/Recruiters/VF_BGUPositions?Id=02i5I00000DOGHgQAP,Sr Lecturer,Tenure Track
2022-2023,2022-09-28T15:16:38.274,Thompson Rivers University,Canada,Indigenous Natural Resource Science,2022-10-14,https://tru.hua.hrsmart.com/hr/ats/Posting/view/23474,Asst Prof,Tenure Track
2022-2023,2022-09-28T15:19:21.783,Villanova University,Pennsylvania,Environmental Science,2022-10-01,https://jobs.villanova.edu/postings/24378,Visiting Asst Teaching Professor ,Fixed Term
2022-2023,2022-09-28T15:23:27.603,Southern Utah University,Utah,Biology,2022-10-08,https://suu.applicantpro.com/jobs/2559221.html,Asst Prof,Tenure Track
2022-2023,2022-09-29T07:29:44.102,"University of California, Santa Cruz",California,Environmental Health Sciences,2022-11-15,https://recruit.ucsc.edu/JPF01365,Asst Prof,Tenure Track
2022-2023,2022-09-29T07:52:45.810,Southern Methodist University,Texas,Earth Sciences,2022-11-15,https://apply.interfolio.com/112659,Assoc / Full Prof,Tenure Track
2022-2023,2022-09-29T08:33:23.348,University of Alabama at Birmingham,Alabama,Biology (Teaching Faculty),,https://uab.peopleadmin.com/postings/16801,Asst Prof,Permanent Non-TT
2022-2023,2022-09-29T08:34:41.235,Southwestern University,Texas,Geographic Information Science (GIS),2022-10-15,https://apply.interfolio.com/110467,Asst Prof,Tenure Track
2022-2023,2022-09-29T08:36:07.477,Emory University,Georgia,Applied Socio-Environmental Sciences,2022-10-28,https://apply.interfolio.com/114288,Asst / Assoc Prof,Tenure Track
2022-2023,2022-09-29T10:12:08.285,Ohio Wesleyan University,Ohio,Microbiology (Broad),2022-10-17,https://www.owu.edu/about/offices-services-directory/human-resources/career-information/faculty-positions-for-2023/,Asst Prof,Tenure Track
2022-2023,2022-09-29T11:04:53.115,University of Idaho,Idaho,Fire Ecology & Management,2022-10-24,https://uidaho.peopleadmin.com/postings/37843,Asst Prof,Tenure Track
2022-2023,2022-09-29T12:26:17.854,University of Tennessee - Knoxville,Tennessee,Mathematical Biology,2022-10-21,https://apply.interfolio.com/111963,Asst Prof,Tenure Track
2022-2023,2022-09-29T13:11:48.930,University of Connecticut,Connecticut,Population Genetics or Genomics,2022-11-01,https://academicjobsonline.org/ajo/jobs/23025,Asst Prof,Tenure Track
2022-2023,2022-09-30T00:14:21.289,University of Connecticut,Connecticut,Integrative Organismal Biology of Invertebrates,2022-11-01,https://academicjobsonline.org/ajo/jobs/23043,Asst Prof,Tenure Track
2022-2023,2022-09-30T02:20:22.151,Duke University,North Carolina,Evolutionary Anthropology,2022-11-01,https://academicjobsonline.org/ajo/jobs/23046,Asst Prof,Tenure Track
2022-2023,2022-09-30T06:21:16.510,Sweet Briar College,Virginia,Animal Physiology or Entomology,2022-11-01,https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=86635&clientkey=0DB1CFB7BAA1AF7EF9E6616BC163C95A,Asst / Assoc Prof,Tenure Track
2022-2023,2022-09-30T08:15:36.638,University of Pittsburgh,Pennsylvania,Computational Biology,2022-10-14,https://cfopitt.taleo.net/careersection/pitt_faculty_external/jobdetail.ftl?job=22007192,Rank Open,Permanent Non-TT
2022-2023,2022-09-30T13:12:56.625,Utah Valley University,Utah,Plant breeding / horticulture / plant biotech,2022-11-15,https://www.uvu.jobs/postings/30747,Rank Open,Tenure Track
2022-2023,2022-09-30T17:08:02.035,San Diego State University,California,Urban Evolutionary Biology,2022-11-01,https://apply.interfolio.com/114434,Asst Prof,Tenure Track
2022-2023,2022-10-01T10:46:22.912,Michigan State University,Michigan,Quantitative Ecology or Evolution,2022-11-15,https://integrativebiology.natsci.msu.edu/eeb_qbjob/index.aspx,Asst Prof,Tenure Track
2022-2023,2022-10-01T12:12:31.603,Ball State University,Indiana,Botany,2022-10-10,https://bsu.peopleadmin.com/postings/33238,Asst Prof,Tenure Track
2022-2023,2022-10-01T12:17:21.788,Ball State University,Indiana,Physiology,2022-10-09,https://bsu.peopleadmin.com/postings/33210,Asst Lecturer / Asst Teaching Prof,Permanent Non-TT
2022-2023,2022-10-01T12:32:37.361,University of Konstanz,Germany,Evolution of Behavior,2022-11-30,https://www.nature.com/naturecareers/job/full-professorship-w3-for-zoology-evolution-reference-no-2022251-university-of-konstanz-764678,Full Prof (W3),Tenure Track
2022-2023,2022-10-02T02:20:14.666,Massachusetts Institute of Technology (MIT),Massachusetts,Climate and Environment,,https://faculty-searches.mit.edu/cee/,Asst Prof,Tenure Track
2022-2023,2022-10-02T11:56:47.719,Coe College,Iowa,Vertebrate Biology,2022-11-15,https://apply.interfolio.com/114720,Asst Prof,Tenure Track
2022-2023,2022-10-02T17:38:11.687,University of North Carolina Wilmington,North Carolina,Integrative Organismal Biologist,2022-10-31,https://jobs.uncw.edu/postings/26183?fbclid=IwAR1O5s1Y69P8kdVtVBqujes2R1bvVuP_lHGEh8L3B-FpZBNNYpOrSrvzYiM,Asst Prof,Tenure Track
2022-2023,2022-10-02T17:51:25.149,Longwood University ,Virginia,Environmental Science,2022-10-10,https://longwood.interviewexchange.com/jobofferdetails.jsp?JOBID=153621,Lecturer,Fixed Term
2022-2023,2022-10-03T06:25:16.931,Oxford College of Emory University,Georgia,Neuroscience & Behavioral Biology,2022-10-31,https://apply.interfolio.com/114890,Asst Prof,Tenure Track
2022-2023,2022-10-03T07:33:53.061,USGS,Missouri,Fish Physiology,2022-10-17,https://www.usajobs.gov/job/680624800,GS-12,Permanent Non-Academic
2022-2023,2022-10-03T11:56:34.413,Kent State University,Ohio,Conservation Paleobiology,2022-11-01,https://www.kent.edu/earth-sciences/news/tenure-track-faculty-position-conservation-paleobiology,Asst Prof,Tenure Track
2022-2023,2022-10-03T14:15:58.815,University of Nebraska-Lincoln,Nebraska,"Genetics, Statistics, Crop Science",2022-11-07,https://employment.unl.edu,Rank Open,Tenure Track
2022-2023,2022-10-03T15:53:47.377,"University of California, Santa Cruz",California,-omics,2022-11-30,https://recruit.ucsc.edu/JPF01397,Asst / Assoc Prof,Tenure Track
2022-2023,2022-10-03T15:54:15.145,"University of California, Santa Cruz",California,Trophic Ecology,2022-11-30,https://recruit.ucsc.edu/JPF01397,Asst / Assoc Prof,Tenure Track
2022-2023,2022-10-03T19:28:52.731,University of Wisconsin-Milwaukee,Wisconsin,Cell Biology / Molecular Biology  (Plant or Animal),2022-11-01,https://jobs.uwm.edu/postings/35464,Asst / Assoc Prof,Tenure Track
2022-2023,2022-10-04T08:25:40.649,University of Massachusetts Amherst,Massachusetts,Genetics / Genomics,2022-10-31,https://careers.umass.edu/amherst/en-us/job/515997/assistant-professor-biology-geneticsgenomics,Asst Prof,Tenure Track
2022-2023,2022-10-04T09:34:13.355,Virginia Tech,Virginia,Forest Health,2022-11-10,https://careers.pageuppeople.com/968/cw/en-us/job/522184/assistant-professor-of-forest-health,Asst Prof,Tenure Track
2022-2023,2022-10-04T10:43:26.134,Texas A&M University–Kingsville,Texas,Biology,2022-11-15,https://wfscjobs.tamu.edu/jobs/assistant-professor-biological-scientist-kingsville-tx/,Asst Prof,Tenure Track
2022-2023,2022-10-04T11:44:18.815,Arizona State University,Arizona,Fundamental and Applied Microbiomics,2022-11-15,http://apply.interfolio.com/114737,Rank Open,Tenure Track
2022-2023,2022-10-04T11:56:50.674,North Carolina State University,North Carolina,Applied Ecology,,https://jobs.ncsu.edu/postings/171715,Department Head,Tenure Track
2022-2023,2022-10-04T13:22:42.006,University of Toronto Mississauga,Canada,Systematics Biology of Invertebrates,2022-12-12,https://jobs.utoronto.ca/job/Mississauga-Assistant-Professor-Systematics-Biology-ON/563872217/,Asst Prof,Tenure Track
2022-2023,2022-10-04T15:47:49.225,Duke University,North Carolina,Coastal / Marine Climate Change (CMCC),2022-12-01,https://apptrkr.com/3506034,Asst Prof,Tenure Track
2022-2023,2022-10-05T07:03:17.457,New Jersey Institute of Technology,New Jersey,Comparative Biology,2022-11-25,https://www.nature.com/naturecareers/job/assistant-professor-comparative-biology-new-jersey-institute-of-technology-njit-764296,Asst Prof,Tenure Track
2022-2023,2022-10-05T08:51:42.047,Howard University,District of Columbia,"Cluster hire: Ecology, Evolution, Invertebrate Bio, Bioinformatics, STEM Education, Cell Bio",2022-11-10,https://jobs.chronicle.com/job/37332647/assistant-or-associate-professor-department-of-biology/,Asst / Assoc Prof,Tenure Track
2022-2023,2022-10-05T09:27:16.310,University of Essex,United Kingdom,Marine Biology,2022-11-13,https://vacancies.essex.ac.uk/tlive_webrecruitment/wrd/run/ETREC107GF.open?VACANCY_ID=200562R0sy&WVID=9918109NEm&LANG=USA,Asst Prof,Permanent Non-TT
2022-2023,2022-10-05T09:51:53.372,Karlstad University,Sweden,Ecology,2022-10-30,https://kau.varbi.com/en/what:job/jobID:549601/,Sr Lecturer,Tenure Track
2022-2023,2022-10-05T10:36:02.263,Saint Louis University,Missouri,Microbiology (disease ecology & other fields),2022-11-01,https://slu.wd5.myworkdayjobs.com/en-US/Careers/job/Macelwane-Hall/Assistant---Associate-Professor--Microbiology_2022-05877?source=HigherEdJobs,Asst / Assoc Prof,Tenure Track
2022-2023,2022-10-05T10:37:15.710,Saint Louis University,Missouri,Developmental Biology,,https://slu.wd5.myworkdayjobs.com/en-US/Careers/job/Macelwane-Hall/Assistant---Associate-Professor--Developmental-Biology_2022-05870?source=circa,Asst / Assoc Prof,Tenure Track
2022-2023,2022-10-05T10:39:19.438,Saint Louis University,Missouri,Neuroscience,,https://slu.wd5.myworkdayjobs.com/en-US/Careers/job/Macelwane-Hall/Assistant---Associate-Professor--Neuroscience_2022-05878,Asst / Assoc Prof,Tenure Track
2022-2023,2022-10-05T11:33:17.489,Western Illinois University,Illinois,Wildlife Ecologist ,2022-09-01,https://wiu.interviewexchange.com/jobofferdetails.jsp?JOBID=148345,Asst Prof,Tenure Track
2022-2023,2022-10-05T12:29:17.740,Oklahoma State University,Oklahoma,Plant Pathology,2022-11-15,https://okstate.csod.com/ats/careersite/JobDetails.aspx?site=8&id=12483,Asst Prof,Tenure Track
2022-2023,2022-10-05T14:29:30.449,Georgetown University,District of Columbia,Microbiology,2022-11-01,https://www.asmcareerconnections.org/job/assistant-professor-of-microbiology/65934100/,Asst Prof,Tenure Track
2022-2023,2022-10-06T04:28:41.191,University of North Carolina at Chapel Hill,North Carolina,Global Change Biology,2022-11-01,https://unc.peopleadmin.com/postings/241400,Asst Prof,Tenure Track
2022-2023,2022-10-06T04:29:06.102,University of North Carolina at Chapel Hill,North Carolina,Ecoinformatics,2022-11-01,https://unc.peopleadmin.com/postings/241400,Asst Prof,Tenure Track
2022-2023,2022-10-06T05:30:15.255,University of California Riverside,California,Evolutionary Genomics,2022-12-02,https://aprecruit.ucr.edu/apply/JPF01641,Asst Prof,Tenure Track
2022-2023,2022-10-06T06:24:09.254,Western Carolina University,North Carolina,Environmental Science,2023-01-01,https://jobs.wcu.edu/postings/21966,Asst Prof,Tenure Track
2022-2023,2022-10-06T06:39:16.207,Stephen F. Austin State University,Texas,Wildlife Ecology & Management,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=178130039&Title=ASSISTANT%20PROFESSOR%20%2D%20Wildlife%20Management,Asst Prof,Tenure Track
2022-2023,2022-10-06T10:21:21.866,West Virginia University,West Virginia,Wildlife Ecology,2022-10-28,https://wvu.taleo.net/careersection/faculty/jobdetail.ftl?job=20853&tz=GMT-04%3A00&tzname=America%2FNew_York,Asst Prof,Tenure Track
2022-2023,2022-10-06T10:26:24.896,University of Idaho,Idaho,Wildlife Ecology & Management,2022-11-15,https://uidaho.peopleadmin.com/postings/37850,Asst Prof,Tenure Track
2022-2023,2022-10-06T11:36:16.551,Washington State University,Washington,Wildlife Ecology,2022-11-15,https://wsu.wd5.myworkdayjobs.com/en-US/WSU_Jobs/details/Assistant-Professor---Wildlife-Ecology--Global-Change-_R-7607?q=r-7607,Asst Prof,Tenure Track
2022-2023,2022-10-07T05:46:01.577,University of Miami,Florida,Maytag Chair of Ornithology,2022-10-15,https://www.biology.as.miami.edu/faculty-openings/index.html,Assoc / Full Prof,Tenure Track
2022-2023,2022-10-07T07:08:15.502,Cornell University,New York,Microbiology,2022-11-11,https://academicjobsonline.org/ajo/jobs/22752,Asst / Assoc Prof,Tenure Track
2022-2023,2022-10-07T08:16:09.316,University of South Carolina,South Carolina,Marine or Coastal Sciences,2022-09-29,https://uscjobs.sc.edu/postings/130219,Full Prof,Tenure Track
2022-2023,2022-10-07T08:40:29.683,University of Missouri St. Louis,Missouri,Cell Biology / Molecular Biology  (Plant or Animal),2022-11-11,https://erecruit.umsystem.edu/psc/tamext/STLOU/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_SCHJOB_FL&Action=U,Asst Prof,Tenure Track
2022-2023,2022-10-07T09:22:04.007,Old Dominion University,Virginia,Marine Megafauna Biology,2022-11-15,https://jobs.odu.edu/postings/17184,Asst Prof,Tenure Track
2022-2023,2022-10-07T10:01:56.124,University of Michigan,Michigan,Pathogen Biorepository,2022-11-16,https://careers.umich.edu/job_detail/224759/res-museum-collection-manager-biorepository,Collection Manager,Fixed Term
2022-2023,2022-10-07T10:33:26.240,Loyola University Chicago,Illinois,Plant Restoration Ecologist,2022-10-31,https://www.careers.luc.edu/postings/22086,Instructor,Permanent Non-TT
2022-2023,2022-10-07T11:47:35.746,University at Albany,New York,Anatomy and Physiology,2022-11-18,https://albany.interviewexchange.com/jobofferdetails.jsp?JOBID=154207,Visiting Asst Prof,Fixed Term
2022-2023,2022-10-07T12:27:53.984,University of the South,Tennessee,Environmental Studies,2022-10-24,https://www.schooljobs.com/careers/sewanee/jobs/3747539/department-of-earth-and-environmental-systems-tenure-track-position-environmenta?category[0]=Faculty&sort=PostingDate%7CDescending&pagetype=jobOpportunitiesJobs,Asst Prof,Tenure Track
2022-2023,2022-10-07T15:05:07.306,University of Nevada - Las Vegas,Nevada,Microbial Environmental Genomics,2023-01-01,https://nshe.wd1.myworkdayjobs.com/en-US/UNLV-External/job/Assistant-Professor-in-Microbial-Environmental-Genomics--School-of-Life-Sciences--College-of-Sciences--R0133313-_R0133313,Asst Prof,Tenure Track
2022-2023,2022-10-07T21:12:16.946,University of British Columbia (UBC),Canada,Indigenous and/or Black Approaches to Biodiversity Research or Management,2022-11-15,https://geog.ubc.ca/job-opportunities/faculty-position-000135992/,Asst Prof,Tenure Track
