season,timestamp,institution,location,subject_area,review_date,url,rank,appointment,institution_clean,carnegie_basic,is_r1
2022-2023,2022-11-23T14:41:45.291,Santa Monica College,California,Zoology,2023-01-17,https://www.schooljobs.com/careers/smcacademic/jobs/3804070/full-time-faculty-tenure-track-life-science-zoology,Asst Prof,Tenure Track,Santa Monica College,14,false
2022-2023,2022-11-23T15:32:33.316,University of Miami,Florida,Marine Biology & Ecology,,https://umiami.wd1.myworkdayjobs.com/en-US/UMFaculty/job/Miami-FL/Assistant-Associate-Professor---Marine-Biology---Ecology_R100052526?q=R100052526,Asst / Assoc Prof,Tenure Track,University of Miami,15,true
2022-2023,2022-11-24T17:01:57.559,University of Hawaii at Manoa,Hawaii,Quantitative Biology,2023-01-01,https://www.schooljobs.com/careers/hawaiiedu/jobs/3814636/assistant-professor-quantitative-biologist-i3,Asst Prof,Tenure Track,University of Hawaii at Manoa,15,true
2022-2023,2022-11-28T06:13:32.143,Cal Poly San Luis Obispo,California,Wildland Fire Management,2023-01-13,https://jobs.calpoly.edu/en-us/job/520968/assistantassociate-professor-of-wildland-fire-management,Assoc Prof,Tenure Track,California Polytechnic State University-San Luis Obispo,18,false
2022-2023,2022-11-28T12:22:04.234,"Minnesota State University, Mankato",Minnesota,Environmental Science,,https://minnesotastate.peopleadmin.com/postings/2278,Asst Prof,Tenure Track,Minnesota State University-Mankato,18,false
2022-2023,2022-11-28T14:07:24.385,University of Wisconsin-Milwaukee,Wisconsin,Director of Conservation & Environmental Science Program,2022-12-15,https://jobs.uwm.edu/postings/35877,Teaching Prof,Tenure Track,University of Wisconsin-Milwaukee,15,true
2022-2023,2022-11-28T16:22:50.409,University of Arizona,Arizona,Data Science,2022-12-16,https://arizona.csod.com/ux/ats/careersite/4/home/requisition/12223?c=arizona,Asst Prof,Tenure Track,University of Arizona,15,true
2022-2023,2022-11-29T09:43:46.098,University of Akron,Ohio,Biology of Global Change,2023-01-16,https://jobs.chronicle.com/job/37369119/assistant-professor-tt-biology-of-global-change/,Asst Prof,Tenure Track,,,
2022-2023,2022-11-29T16:30:57.391,North Carolina State University,North Carolina,Paleobiology,,https://jobs.ncsu.edu/postings/174886,Asst Prof,Tenure Track,North Carolina State University at Raleigh,15,true
2022-2023,2022-11-29T16:40:30.799,SUNY New Paltz,New York,Biology,2022-12-01,https://jobs.newpaltz.edu/postings/1851,Asst Prof,Tenure Track,,,
2022-2023,2022-11-30T12:54:45.795,University of Hawaii at Manoa,Hawaii,Director and Professor of Life Sciences,2023-01-01,https://www.schooljobs.com/careers/hawaiiedu/jobs/3817995/director-of-school-of-life-sciences?keywords=life%20sciences%20director&pagetype=jobOpportunitiesJobs,Full Prof,Tenure Track,University of Hawaii at Manoa,15,true
2022-2023,2022-11-30T20:06:00.957,Eastern Oregon University,Oregon,Ecology,2023-01-03,https://eou.peopleadmin.com/postings/2633,Asst Prof,Tenure Track,Eastern Oregon University,20,false
2022-2023,2022-12-01T11:32:25.303,New Mexico State University,New Mexico,Wildlife Disease Ecologist,2023-01-13,https://jobs.nmsu.edu/postings/48732,Asst Prof,Tenure Track,New Mexico State University-Main Campus,16,false
2022-2023,2022-12-01T12:49:29.155,Worcester State University,Massachusetts,"Biology - Neurobiology, Virology",2022-11-01,https://worcester.interviewexchange.com/jobofferdetails.jsp;jsessionid=750083D4188EEB0212DB1BFC214D5DF5?JOBID=151413,Asst / Assoc Prof,Tenure Track,Worcester State University,18,false
2022-2023,2022-12-01T12:55:31.649,Brown University,Rhode Island,Developmental Psychology and/or Behavioral Neuroscience,2022-11-01,https://apply.interfolio.com/110606,Asst / Assoc Prof,Tenure Track,Brown University,15,true
2022-2023,2022-12-01T12:58:58.496,Appalachian State University,North Carolina,Biological Psychology / Behavioral Neuroscience,2022-10-14,https://appstate.peopleadmin.com/postings/34829,Asst Prof,Tenure Track,Appalachian State University,18,false
2022-2023,2022-12-02T06:50:37.167,Georgia Southern University,Georgia,Ecosystem Ecologist,2023-01-25,https://cosm.georgiasouthern.edu/biology/about/employment-opportunities/,Asst Prof,Tenure Track,Georgia Southern University,16,false
2022-2023,2022-12-02T16:10:25.818,Saint Peter's University,New Jersey,Cellular & Molecular Biology / Genetics,2023-01-31,https://saintpeters.peopleadmin.com/postings/2992,Asst Prof,Tenure Track,Saint Peter's University,18,false
2022-2023,2022-12-05T10:56:31.255,Texas State University,Texas,Ecohydrology,2023-02-03,https://jobs.hr.txstate.edu/postings/40669,Assoc / Full Prof,Tenure Track,Texas State University,16,false
2022-2023,2022-12-05T12:48:58.635,University of Minnesota (Twin Cities),Minnesota,Physical Geography,2022-11-15,https://hr.myu.umn.edu/jobs/ext/351986,Asst Prof,Tenure Track,University of Minnesota-Twin Cities,15,true
2022-2023,2022-12-06T09:01:56.664,Utah Valley University,Utah,Environmental Science,2022-12-10,https://www.schooljobs.com/careers/uvu/jobs/3803979/faculty-assistant-professor-tenure-track-environmental-science,Asst Prof,Tenure Track,Utah Valley University,18,false
2022-2023,2022-12-06T09:32:19.908,University of North Texas,Texas,Environmental Chemistry,2023-01-01,https://jobs.untsystem.edu/postings/67293,Asst / Assoc Prof,Tenure Track,University of North Texas,15,true
2022-2023,2022-12-06T11:43:56.198,Northland College,Wisconsin,Fisheries,2023-01-01,https://www.northland.edu/job/assistant-or-associate-professor-of-natural-resources-and-biology-fisheries-scientist-fish-biologist/,Asst Prof,Tenure Track,Northland College,22,false
2022-2023,2022-12-06T13:03:04.468,University of Rhode Island,Rhode Island,Engineering in Coastal Resilience,2022-12-15,https://jobs.uri.edu/postings/10834,Asst Prof,Tenure Track,University of Rhode Island,16,false
2022-2023,2022-12-06T17:53:43.953,Diablo Valley College,California,Biology,2023-01-02,https://www.4cdcareers.net/postings/9233,Asst Prof,Tenure Track,Diablo Valley College,1,false
2022-2023,2022-12-06T21:25:17.378,Appalachian State University ,North Carolina,Evolutionary Developmental Biology,2023-01-06,https://appstate.peopleadmin.com/postings/37487,Asst Prof,Tenure Track,,,
2022-2023,2022-12-07T03:33:08.765,University of Saint Joseph,Connecticut,Biology,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=178158150,Asst Prof,Tenure Track,University of Saint Joseph,18,false
2022-2023,2022-12-07T08:37:48.805,Rowan University,New Jersey,Environmental Studies,2022-12-16,https://jobs.rowan.edu/en-us/job/498093/tenuredtenuretrack-assistantassociate-professor-department-of-environmental-science,Asst / Assoc Prof,Tenure Track,Rowan University,16,false
2022-2023,2022-12-07T16:54:43.485,Brooklyn College,New York,Climate & Aquatic Environment,2023-02-03,https://cuny.jobs/brooklyn-ny/associate-professor-climate-and-aquatic-environment-director-aquatic-research-and-environmental-assessment-center/5B35B1DB9E864195A151CE392899478B/job/,Assoc Prof,Tenure Track,CUNY Brooklyn College,18,false
2022-2023,2022-12-07T16:58:33.618,The Ohio State University,Ohio,Weed Science,2023-01-29,https://osu.wd1.myworkdayjobs.com/OSUCareers/job/Columbus-Campus/Assistant-Professors-Hort---Crop-Science---Weed-Extension---Weed-Ecology_R64969-1,Asst Prof,Tenure Track,Ohio State University-Main Campus,15,true
2022-2023,2022-12-08T11:20:54.868,Stephen F. Austin State University,Texas,Environmental Science,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=178211371&Title=Assistant%20Professor%20%2D%20Environmental%20Science,Asst Prof,Tenure Track,Stephen F Austin State University,18,false
2022-2023,2022-12-08T21:07:34.839,Harvard University,Massachusetts,Terrestrial Ecology,2023-01-09,https://www.nature.com/naturecareers/job/tenured-professor-in-terrestrial-ecology-harvard-university-767847,Assoc / Full Prof,Tenure Track,Harvard University,15,true
2022-2023,2022-12-09T06:22:24.973,Iowa State University,Iowa,Aquaculture / Fisheries Biology,2023-01-07,https://isu.wd1.myworkdayjobs.com/IowaStateJobs/job/Ames-IA/Assistant-Associate-Full-Professor---Aquaculture-Fisheries_R10348,Rank Open,Tenure Track,Iowa State University,15,true
2022-2023,2022-12-09T14:28:17.786,University of Hawaii at Manoa,Hawaii,Deep Sea Oceanographer / Ecologist,2023-02-03,https://www.schooljobs.com/careers/hawaiiedu?keywords=82368,Asst Prof,Tenure Track,University of Hawaii at Manoa,15,true
2022-2023,2022-12-10T11:29:55.467,Susquehanna University,Pennsylvania,Earth & Environmental Sciences,2023-01-23,https://jobs.susqu.edu/postings/2918,Asst Prof,Tenure Track,Susquehanna University,21,false
2022-2023,2022-12-11T06:48:33.431,Sacred Heart University,Connecticut,Biology,2023-01-09,https://sacredheart.interviewexchange.com/jobofferdetails.jsp?JOBID=156358&CNTRNO=0&TSTMP=1669905264037,Asst Prof,Tenure Track,Sacred Heart University,17,false
2022-2023,2022-12-12T09:25:39.885,Drexel University,Pennsylvania,Community / Ecosystem Ecology,2023-01-15,https://jobs.sciencecareers.org/job/637589/assistant-professor-tenure-track-in-ecology/,Asst Prof,Tenure Track,Drexel University,15,true
2022-2023,2022-12-12T13:38:51.101,University of Illinois at Urbana Champaign,Illinois,Forest Ecology,2023-01-17,https://illinois.csod.com/ux/ats/careersite/1/home/requisition/2367?c=illinois,Asst Prof,Tenure Track,University of Illinois Urbana-Champaign,15,true
2022-2023,2022-12-12T18:27:21.346,University of Louisiana Lafayette,Louisiana,Wetland Plant Ecology or Ecotoxicology,2023-01-02,https://louisiana.csod.com/ux/ats/careersite/1/home/requisition/2078?c=louisiana,Asst Prof,Tenure Track,University of Louisiana at Lafayette,15,true
2022-2023,2022-12-13T03:05:00.544,University of Louisiana Lafayette,Louisiana,Microbology,2023-01-02,https://louisiana.csod.com/ux/ats/careersite/1/home/requisition/2089?c=louisiana,Asst Prof,Tenure Track,University of Louisiana at Lafayette,15,true
2022-2023,2022-12-13T11:54:00.423,Spelman College,Georgia,Ecology & Evolutionary Biology,2023-01-03,https://spelman.peopleadmin.com/postings/4623,Asst Prof,Tenure Track,Spelman College,21,false
2022-2023,2022-12-15T09:36:04.037,Tusculum University,Tennessee,Zoology (Wildlife Biology or Comparative Anatomy),2023-02-01,https://www3.tusculum.edu/hr/2022/assistant-associate-professor-of-biology/?fbclid=IwAR1ji0aYsavNqQNhbylMIpYM8c9iX3OEe0znRHQi42xpdQOi51-mvLgb1pM,Asst / Assoc Prof,Tenure Track,Tusculum University,19,false
2022-2023,2022-12-15T12:02:34.499,"University of California, Santa Cruz",California,Geographical Information Systems (GIS),2023-01-03,https://recruit.ucsc.edu/JPF01407,Asst / Assoc Teaching Prof,Tenure Track,University of California-Santa Cruz,15,true
2022-2023,2022-12-15T18:11:41.561,Colorado State University,Colorado,Forest Biometry,2023-02-17,https://jobs.colostate.edu/postings/117564,Asst Prof,Tenure Track,Colorado State University-Fort Collins,15,true
2022-2023,2022-12-17T12:13:41.159,Southern Illinois University,Illinois,Plant Community Ecology,2023-01-13,https://jobs.siu.edu/job-details?jobID=14698&job=assistant-professor-ecology-and-biostatistics,Asst Prof,Tenure Track,Southern Illinois University-Carbondale,16,false
2022-2023,2022-12-18T09:21:00.634,University of Missouri - St. Louis,Missouri,"Ecology, Evolution, and Conservation ",2023-01-30,https://erecruit.umsystem.edu/psc/tamext/STLOU/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&SiteId=11&FOCUS=Applicant&SiteId=11&JobOpeningId=44505&PostingSeq=1&,Assoc / Full Prof,Tenure Track,University of Missouri-St Louis,16,false
2022-2023,2022-12-20T10:45:01.807,University of Texas at El Paso,Texas,Biology,2023-01-13,https://utep.interviewexchange.com/jobofferdetails.jsp?JOBID=156575,Department Chair,Tenure Track,The University of Texas at El Paso,15,true
2022-2023,2022-12-21T10:40:27.384,Emporia State University,Kansas,Landscape Mammalogist,2023-02-01,https://sites.google.com/g.emporia.edu/human-resources/faculty-staff-open-positions/1128-assistant-or-associate-professor,Asst / Assoc Prof,Tenure Track,Emporia State University,18,false
2022-2023,2022-12-21T14:58:01.594,Northland College,Wisconsin,Restoration Ecology,2023-01-16,https://www.northland.edu/job/assistant-professor-of-natural-resources-restoration-ecologist/,Asst Prof,Tenure Track,Northland College,22,false
2022-2023,2022-12-24T01:32:48.635,North Carolina State University,North Carolina,Entomology,,https://jobs.ncsu.edu/postings/176390,Asst Prof,Tenure Track,North Carolina State University at Raleigh,15,true
2022-2023,2022-12-27T14:24:40.701,Wells College,New York,Environmental Science (Aquatic Ecosystems),2023-01-15,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=14c62faa-11e0-4864-bf28-fb1d2abe5ae9&ccId=19000101_000001&jobId=462427&source=CC2&lang=en_US,Asst Prof,Tenure Track,Wells College,21,false
2022-2023,2022-12-29T12:27:05.799,Woods Hole Oceanographic Institution,Massachusetts,Biology,2023-01-31,https://careers-whoi.icims.com/jobs/1929/tenure-track-scientist---biology/job,Asst Scientist,Tenure Track,,,
2022-2023,2023-01-03T11:10:09.969,College of Coastal Georgia,Georgia,Environmental Science,,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=63000&JobOpeningId=252865&PostingSeq=1&PortalActualURL=https%3a%2f%2fcareers.hprod.onehcm.usg.edu%2fpsc%2fcareers%2fCAREERS%2fHRMS%2fc%2fHRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL%3fPage%3dHRS_APP_JBPST_FL%26Action%3dU%26FOCUS%3dApplicant%26SiteId%3d63000%26JobOpeningId%3d252865%26PostingSeq%3d1&PortalRegistryName=CAREERS&PortalServletURI=https%3a%2f%2fcareers.hprod.onehcm.usg.edu%2fpsp%2fcareers%2f&PortalURI=https%3a%2f%2fcareers.hprod.onehcm.usg.edu%2fpsc%2fcareers%2f&PortalHostNode=APPLICANT&NoCrumbs=yes&PortalKeyStruct=yes,Asst Prof,Tenure Track,College of Coastal Georgia,22,false
2022-2023,2023-01-03T13:48:10.941,Montana State University,Montana,Paleontology,2023-01-30,https://jobs.montana.edu/postings/33905,Asst Prof,Tenure Track,Montana State University,15,true
2022-2023,2023-01-03T13:50:50.825,UC Berkeley,California,Conservation Science,2023-02-02,https://aprecruit.berkeley.edu/JPF03613,Asst Prof,Tenure Track,University of California-Berkeley,15,true
2022-2023,2023-01-05T11:18:21.480,University of Wisconsin - Eau Claire,Wisconsin,Immunology,2023-02-09,https://www.uwec.edu/job-postings/19240/,Asst Prof,Tenure Track,University of Wisconsin-Eau Claire,19,false
2022-2023,2023-01-06T14:31:48.905,Colorado State University,Colorado,Remote Sensing & Data Science,2023-01-24,https://jobs.colostate.edu/postings/118408,Asst Prof,Tenure Track,Colorado State University-Fort Collins,15,true
2022-2023,2023-01-08T12:23:08.365,University of Rhode Island,Rhode Island,Oceanography,2023-02-15,https://jobs.uri.edu/postings/11065,Asst Prof,Tenure Track,University of Rhode Island,16,false
2022-2023,2023-01-09T14:07:47.652,Florida International University,Florida,Tropical Vertebrate Conservation Biologist,2023-01-15,https://facultycareers.fiu.edu/?posting=528452,Rank Open,Tenure Track,Florida International University,15,true
2022-2023,2023-01-10T08:56:54.969,SUNY ESF,New York,Indigenous Environmental Science,2023-02-15,https://esf.interviewexchange.com/jobofferdetails.jsp?JOBID=155547,Asst Prof,Tenure Track,SUNY College of Environmental Science and Forestry,16,false
2022-2023,2023-01-11T09:11:29.198,University of New Mexico,New Mexico,Neuroscience & Data Science,2023-03-01,https://unmfirst.unm.edu/apply-now/index.html,Asst Prof,Tenure Track,University of New Mexico-Gallup Campus,8,false
2022-2023,2023-01-12T07:42:15.894,University of Central Oklahoma,Oklahoma,Ecology,2023-03-01,https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=71085&clientkey=05027ACF42B26FF3DD70CE4664A18E9F,Asst Prof,Tenure Track,University of Central Oklahoma,18,false
2022-2023,2023-01-12T07:43:29.859,University of Central Oklahoma,Oklahoma,Animal Physiology,2023-03-01,https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=70295&clientkey=05027ACF42B26FF3DD70CE4664A18E9F,Asst Prof,Tenure Track,University of Central Oklahoma,18,false
2022-2023,2023-01-12T07:44:33.073,University of Central Oklahoma,Oklahoma,Microbiology / Immunology,2023-03-01,https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=70291&clientkey=05027ACF42B26FF3DD70CE4664A18E9F,Asst Prof,Tenure Track,University of Central Oklahoma,18,false
2022-2023,2023-01-12T07:56:53.561,UCLA,California,Physical Geography,2022-12-17,https://recruit.apo.ucla.edu/JPF07983,Asst Prof,Tenure Track,University of California-Los Angeles,15,true
2022-2023,2023-01-12T11:31:28.835,University of Wisconsin - Superior,Wisconsin,Environmental Science & Geographic Information Systems (GIS),2023-02-01,https://www.uwsuper.edu/hr/employment/assistant-professor-of-environmental-science--geographic-information-systems_employment5249989,Asst Prof,Tenure Track,University of Wisconsin-Superior,19,false
2022-2023,2023-01-13T07:11:48.214,Ohio University,Ohio,Ecology & Evolution,2023-03-01,https://www.ohiouniversityjobs.com/postings/44660,Asst Prof,Tenure Track,Ohio University-Main Campus,15,true
2022-2023,2023-01-13T11:31:54.164,Drexel University,Pennsylvania,"Ecology, Evolution & Environmental Biology",2023-02-01,https://jobs.sciencecareers.org/job/638494/associate-professor-betz-endowed-chair-department-of-bees/,Assoc / Full Prof,Tenure Track,Drexel University,15,true
2022-2023,2023-01-16T08:22:23.257,Ohio University,Ohio,Physiology of the Microbiome,2023-02-13,https://www.ohiouniversityjobs.com/postings/44705?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,Asst Prof,Tenure Track,Ohio University-Main Campus,15,true
2022-2023,2023-01-16T08:24:51.154,University of Arkansas at Fort Smith,Arkansas,Microbiology,2023-02-28,https://uasys.wd5.myworkdayjobs.com/en-US/UASYS/job/UAFS--University-of-Arkansas-Fort-Smith/Assistant-Professor-of-Microbiology_R0027822,Asst Prof,Tenure Track,University of Arkansas-Fort Smith,22,false
2022-2023,2023-01-17T08:33:20.544,Oregon State University,Oregon,"Director, Mid-Columbia Agricultural Research & Extension Center",2023-02-03,https://jobs.oregonstate.edu/postings/130226,Director,Tenure Track,Oregon State University,15,true
2022-2023,2023-01-17T15:13:12.683,Oregon State University,Oregon,Soil Science - Pedology,2023-02-12,https://jobs.oregonstate.edu/postings/129720,Asst Prof,Tenure Track,Oregon State University,15,true
2022-2023,2023-01-18T17:40:34.917,Bradley University,Illinois,Ecology and Evolution,,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=df6f93d4-2277-4999-ac63-88a55668ffd3&ccId=9200110706773_2&jobId=480742&lang=en_US&source=TW,Asst Prof,Tenure Track,Bradley University,17,false
2022-2023,2023-01-19T10:41:12.089,Oregon State University,Oregon,Rangeland Ecology & Management,2023-03-05,https://jobs.oregonstate.edu/postings/130953,Asst Prof,Tenure Track,Oregon State University,15,true
2022-2023,2023-01-20T14:49:05.624,Woods Hole Oceanographic Institution,Massachusetts,Applied Ocean Physics,2023-01-22,https://careers-whoi.icims.com/jobs/1941/tenure-track-scientist-%e2%80%93-aope---applied-ocean-physics/job?hub=8&mobile=false&width=1090&height=500&bga=true&needsRedirect=false&jan1offset=-300&jun1offset=-240,Rank Open,Tenure Track,,,
2022-2023,2023-01-22T08:16:30.332,North Carolina State University,North Carolina,Molecular Genetics of Weeds and Invasive Species,2023-03-06,https://jobs.ncsu.edu/postings/177817,Asst Prof,Tenure Track,North Carolina State University at Raleigh,15,true
2022-2023,2023-01-22T14:34:24.968,University of Maryland Eastern Shore,Maryland,Environmental Omics,2023-02-15,https://umes.peopleadmin.com/postings/3384,Asst Prof,Tenure Track,University of Maryland Eastern Shore,16,false
2022-2023,2023-01-23T13:06:40.262,Massachusetts College of Art & Design,Massachusetts,Integrative Life Sciences,2023-02-20,https://massart.interviewexchange.com/jobofferdetails.jsp?JOBID=158184,Asst Prof,Tenure Track,Massachusetts College of Art and Design,30,false
2022-2023,2023-01-23T15:39:42.827,Jackson Lab,Maine,Computational Biology,,https://thejacksonlaboratory.wd1.myworkdayjobs.com/en-US/External_JAX/job/Bar-Harbor-Maine/Faculty---Computational-Biology_JR000579,Rank Open,Tenure Track,,,
2022-2023,2023-01-24T08:35:42.162,University of Indiana Bloomington,Indiana,Microbiomes,2023-02-15,https://indiana.peopleadmin.com/postings/16243,Assoc / Full Prof,Tenure Track,Indiana University-Bloomington,15,true
2022-2023,2023-01-24T08:37:02.013,University of Indiana Bloomington,Indiana,Metabolism,2023-02-15,https://indiana.peopleadmin.com/postings/16241,Assoc / Full Prof,Tenure Track,Indiana University-Bloomington,15,true
2022-2023,2023-01-24T09:35:47.273,West Virginia Wesleyan College,West Virginia,Plant Ecology ,2023-03-15,https://www.wvwc.edu/jobs/assistant-professor-biology/,Asst Prof,Tenure Track,West Virginia Wesleyan College,22,false
2022-2023,2023-01-24T10:31:06.299,San Jose State University / Moss Landing Marine Labs,California,Director,2023-02-01,https://jobs.chronicle.com/job/37396626/director-moss-landing-marine-laboratories,Administrator III,Tenure Track,San Jose State University,18,false
2022-2023,2023-01-25T19:51:37.963,The University of Texas - Arlington,Texas,Biology - Ecology ,2023-02-15,https://www.higheredjobs.com/faculty/details.cfm?JobCode=178256594&Title=Assistant%20Professor,Asst Prof,Tenure Track,The University of Texas at Arlington,15,true
2022-2023,2023-01-26T14:15:35.919,Rutgers University,New Jersey,Marine & Coastal Sciences,,https://jobs.rutgers.edu/postings/186897,Asst Prof,Tenure Track,Rutgers University-New Brunswick,15,true
2022-2023,2023-01-26T16:36:23.746,Texas State University,Texas,Evolutionary Ecology,2023-02-28,https://jobs.hr.txstate.edu/postings/41421,Asst Prof,Tenure Track,Texas State University,16,false
2022-2023,2023-01-27T12:42:23.729,Louisiana State University,Louisiana,Chemical Oceanography / Marine Geochemistry,2023-02-15,https://lsu.wd1.myworkdayjobs.com/en-US/LSU/job/1002Y-Energy-Coast-and-Environment-Building/Assistant-Professor---Chemical-Oceanography-Marine-Geochemistry_R00074735,Asst Prof,Tenure Track,Louisiana State University and Agricultural & Mechanical College,15,true
2022-2023,2023-01-30T09:28:06.984,Cal Poly Humboldt,California,Mammalogy,2023-02-20,https://careers.humboldt.edu/hm/en-us/job/524016/tenure-track-faculty-department-of-biological-sciences-mammalogy,Asst Prof,Tenure Track,California State Polytechnic University-Humboldt,18,false
2022-2023,2023-01-31T09:47:45.944,Indiana University Southeast,Indiana,Biology/Genetics,2023-03-30,https://indiana.peopleadmin.com/postings/16013,Asst Prof,Tenure Track,Indiana University-Southeast,19,false
2022-2023,2023-02-03T03:29:05.801,University of Montevallo,Alabama,Botany,,https://jobs.montevallo.edu/postings/7405,Asst Prof,Tenure Track,University of Montevallo,19,false
2022-2023,2023-02-03T10:13:58.575,Stanford University,California,Sustainability / Data Science,2023-03-01,https://facultypositions.stanford.edu/en-us/job/493537/assistant-professor-stanford-doerr-school-of-sustainability?lApplicationSubSourceID=11250,Asst Prof,Tenure Track,Stanford University,15,true
2022-2023,2023-02-03T11:50:36.765,Florida Atlantic University,Florida,Wildlife Disease Ecology,2023-02-28,https://www.fau.edu/environment/index.php,Asst Prof,Tenure Track,Florida Atlantic University,16,false
2022-2023,2023-02-03T13:04:43.684,Auburn University at Montgomery,Alabama,Environmental Science,2023-03-01,https://www.jobs.aum.edu/postings/5981,Asst Prof,Tenure Track,Auburn University at Montgomery,18,false
2022-2023,2023-02-04T17:42:37.605,Cornell University,New York,Insect Physiology & Toxicology,2023-04-30,https://academicjobsonline.org/ajo/jobs/24118,Assoc / Full Prof,Tenure Track,Cornell University,15,true
2022-2023,2023-02-06T13:27:28.575,Colorado State University,Colorado,"Sustainability, Watershed Sciences",2023-02-28,https://jobs.colostate.edu/postings/120965,Asst Prof,Tenure Track,Colorado State University-Fort Collins,15,true
2022-2023,2023-02-06T14:07:57.282,Iowa State University,Iowa,Wildlife Ecology,2023-03-04,https://isu.wd1.myworkdayjobs.com/IowaStateJobs/job/Ames-IA/Assistant-Professor-in-Wildlife-Ecology_R10958,Asst Prof,Tenure Track,Iowa State University,15,true
2022-2023,2023-02-06T16:54:14.536,University of Vermont,Vermont,Systems Ecology & Sustainability Science,2023-02-15,https://www.uvmjobs.com/postings/60102,Asst Prof,Tenure Track,University of Vermont,16,false
2022-2023,2023-02-07T08:49:03.638,Truman State University,Missouri,Plant Biology,2023-02-24,https://www.higheredjobs.com/faculty/details.cfm?JobCode=178263882&Title=Faculty%20Position%20in%20Plant%20Biology,Asst Prof,Tenure Track,Truman State University,19,false
2022-2023,2023-02-07T11:42:36.500,University of Wyoming,Wyoming,Sustainable Tourism,2023-03-01,https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/preview/222635/?keyword=tourism&mode=location,Asst Prof,Tenure Track,University of Wyoming,16,false
2022-2023,2023-02-07T11:44:30.970,University of Nebraska - Lincoln,Nebraska,Fish Biology,2023-03-03,https://employment.unl.edu/postings/84200,Asst / Assoc Prof,Tenure Track,University of Nebraska-Lincoln,15,true
2022-2023,2023-02-08T08:57:34.361,Georgia College & State University,Georgia,Computation Biology,2023-02-23,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=36000&JobOpeningId=253139&PostingSeq=1&PortalActualURL=https%3a%2f%2fcareers.hprod.onehcm.usg.edu%2fpsc%2fcareers%2fCAREERS%2fHRMS%2fc%2fHRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL%3fPage%3dHRS_APP_JBPST_FL%26Action%3dU%26FOCUS%3dApplicant%26SiteId%3d36000%26JobOpeningId%3d253139%26PostingSeq%3d1&PortalRegistryName=CAREERS&PortalServletURI=https%3a%2f%2fcareers.hprod.onehcm.usg.edu%2fpsp%2fcareers%2f&PortalURI=https%3a%2f%2fcareers.hprod.onehcm.usg.edu%2fpsc%2fcareers%2f&PortalHostNode=APPLICANT&NoCrumbs=yes&PortalKeyStruct=yes,Asst Prof,Tenure Track,Georgia College & State University,18,false
2022-2023,2023-02-08T10:40:22.913,Coastal Carolina University,South Carolina,Marine Science,2022-11-30,https://jobs.coastal.edu/postings/18607,Asst Prof,Tenure Track,Coastal Carolina University,18,false
2022-2023,2023-02-08T11:03:16.348,University of Texas Rio Grande Valley,Texas,"Earth, Environmental, and Marine Science",2023-03-31,https://greenwoodsearch.com/wp-content/uploads/2023/02/SEEMS-Director-Position-Description.pdf,Assoc / Full Prof,Tenure Track,The University of Texas Rio Grande Valley,16,false
2022-2023,2023-02-08T12:04:55.678,University of North Alabama,Alabama,Ecology ,,https://jobs.una.edu/postings/6766,Asst Prof,Tenure Track,University of North Alabama,18,false
2022-2023,2023-02-09T06:47:25.134,University of California Santa Barbara,California,Teaching Biological Sciences (LPSOE),2023-03-10,https://recruit.ap.ucsb.edu/JPF02398,Asst Prof,Tenure Track,University of California-Santa Barbara,15,true
2022-2023,2023-02-09T07:19:50.033,Quinnipiac University,Connecticut,Biomedical Sciences,,https://career.qu.edu/cw/en-us/job/494568/fulltime-tenuretrack-faculty-biomedical-sciences-school-of-health-sciences,Rank Open,Tenure Track,Quinnipiac University,17,false
2022-2023,2023-02-09T11:06:15.991,Arkansas State University-Jonesboro,Arkansas,Agricultural Water Management / Remote Sensing,2023-02-23,https://phe.tbe.taleo.net/phe02/ats/careers/v2/viewRequisition?org=ARKASTAT2&cws=40&rid=30643,Asst Prof,Tenure Track,Arkansas State University,16,false
2022-2023,2023-02-10T13:38:06.123,Northern Illinois University,Illinois,Sustainability,2023-04-02,https://employment.niu.edu/postings/69163,Rank Open,Tenure Track,Northern Illinois University,16,false
